#  Timestep    No_Moles    No_Specs   Si192O384         OH2
       1450          17           3           1          15           1
#  Timestep    No_Moles    No_Specs Si192O384O5H10         OH2
       1455          16           2           1          15
#  Timestep    No_Moles    No_Specs Si192O384O5H10         OH2
       1460          16           2           1          15
#  Timestep    No_Moles    No_Specs Si192O384O5H10         OH2
       1465          16           2           1          15
#  Timestep    No_Moles    No_Specs Si192O384O5H10         OH2
       1470          16           2           1          15
#  Timestep    No_Moles    No_Specs Si192O384O5H10         OH2
       1475          16           2           1          15
#  Timestep    No_Moles    No_Specs Si192O384O5H10         OH2
       1480          16           2           1          15
#  Timestep    No_Moles    No_Specs Si192O384O5H10         OH2
       1485          16           2           1          15
#  Timestep    No_Moles    No_Specs Si192O384O5H10         OH2
       1490          16           2           1          15
#  Timestep    No_Moles    No_Specs Si192O384O5H10         OH2
       1495          16           2           1          15
#  Timestep    No_Moles    No_Specs Si192O384O5H10         OH2
       1500          16           2           1          15
#  Timestep    No_Moles    No_Specs Si192O384O5H10         OH2
       1505          16           2           1          15
#  Timestep    No_Moles    No_Specs Si192O384O4H9         OH2          OH
       1510          17           3           1          15           1
#  Timestep    No_Moles    No_Specs Si192O384O4H9         OH2          OH
       1515          17           3           1          15           1
#  Timestep    No_Moles    No_Specs Si192O384O5H10         OH2
       1520          16           2           1          15
#  Timestep    No_Moles    No_Specs Si192O384O5H10         OH2
       1525          16           2           1          15
#  Timestep    No_Moles    No_Specs Si192O384O5H10         OH2
       1530          16           2           1          15
#  Timestep    No_Moles    No_Specs Si192O384O5H10         OH2
       1535          16           2           1          15
#  Timestep    No_Moles    No_Specs Si192O384O5H10         OH2
       1540          16           2           1          15
#  Timestep    No_Moles    No_Specs Si192O384O5H10         OH2
       1545          16           2           1          15
#  Timestep    No_Moles    No_Specs Si192O384O5H10         OH2
       1550          16           2           1          15
#  Timestep    No_Moles    No_Specs Si192O384O5H10         OH2
       1555          16           2           1          15
#  Timestep    No_Moles    No_Specs Si192O384O5H10         OH2
       1560          16           2           1          15
#  Timestep    No_Moles    No_Specs Si192O384O5H10         OH2
       1565          16           2           1          15
#  Timestep    No_Moles    No_Specs Si192O384O5H10         OH2
       1570          16           2           1          15
#  Timestep    No_Moles    No_Specs Si192O384O5H10         OH2
       1575          16           2           1          15
#  Timestep    No_Moles    No_Specs Si192O384O5H10         OH2
       1580          16           2           1          15
#  Timestep    No_Moles    No_Specs Si192O384O5H10         OH2
       1585          16           2           1          15
#  Timestep    No_Moles    No_Specs Si192O384O5H10         OH2
       1590          16           2           1          15
#  Timestep    No_Moles    No_Specs Si192O384O5H10         OH2
       1595          16           2           1          15
#  Timestep    No_Moles    No_Specs Si192O384O5H10         OH2
       1600          16           2           1          15
#  Timestep    No_Moles    No_Specs Si192O384O5H10         OH2
       1605          16           2           1          15
#  Timestep    No_Moles    No_Specs Si192O384O5H10         OH2
       1610          16           2           1          15
#  Timestep    No_Moles    No_Specs Si192O384O5H10         OH2
