#  Timestep    No_Moles    No_Specs   Si192O384
       1050           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1055           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1060           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1065           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1070           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1075           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1080           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1085           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1090           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1095           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1100           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1105           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1110           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1115           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1120           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1125           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1130           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1135           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1140           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1145           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1150           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1155           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1160           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1165           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1170           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1175           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1180           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1185           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1190           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1195           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1200           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1205           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1210           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1215           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1220           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1225           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1230           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1235           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1240           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1245           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1250           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1255           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1260           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1265           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1270           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1275           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1280           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1285           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1290           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1295           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1300           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1305           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1310           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1315           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1320           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1325           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1330           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1335           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1340           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1345           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1350           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1355           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1360           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1365           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1370           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1375           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1380           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1385           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1390           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1395           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1400           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1405           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1410           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1415           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1420           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1425           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1430           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1435           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1440           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1445           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1450           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1455           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1460           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1465           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1470           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1475           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1480           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1485           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1490           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1495           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1500           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1505           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1510           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1515           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1520           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1525           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1530           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1535           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1540           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1545           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1550           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1555           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1560           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1565           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1570           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1575           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1580           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1585           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1590           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1595           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1600           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1605           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1610           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1615           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1620           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1625           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1630           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1635           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1640           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1645           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1650           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1655           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1660           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1665           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1670           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1675           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1680           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1685           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1690           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1695           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1700           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1705           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1710           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1715           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1720           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1725           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1730           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1735           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1740           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1745           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1750           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1755           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1760           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1765           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1770           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1775           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1780           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1785           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1790           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1795           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1800           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1805           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1810           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1815           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1820           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1825           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1830           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1835           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1840           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1845           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1850           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1855           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1860           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1865           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1870           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1875           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1880           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1885           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1890           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1895           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1900           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1905           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1910           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1915           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1920           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1925           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1930           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1935           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1940           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1945           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1950           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1955           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1960           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1965           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1970           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1975           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1980           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1985           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1990           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       1995           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       2000           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       2005           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       2010           1           1           1
#  Timestep    No_Moles    No_Specs   Si192O384
       2015           1           1           1
