# Time-averaged data for fix myat1
# TimeStep v_vcm_fluid
575000 0.000139621
576000 3.38469e-05
577000 -1.13525e-06
578000 0.000283773
579000 0.000179538
580000 -1.82666e-05
581000 2.38215e-05
582000 -0.00020605
583000 2.53905e-06
584000 0.000295441
585000 -7.27495e-05
586000 -0.00016906
587000 -6.49661e-05
588000 -8.91453e-05
589000 0.000244024
590000 0.000325414
591000 0.000577404
592000 0.000131313
593000 -0.000230473
594000 4.71822e-05
595000 0.000418656
596000 -0.000152334
597000 -7.2124e-05
598000 0.00010113
599000 0.000519449
600000 0.000319132
601000 0.000142434
602000 0.000290558
603000 0.000234787
604000 -1.1806e-05
605000 2.53274e-05
606000 1.82287e-05
607000 5.20032e-05
608000 -4.71256e-06
609000 0.000106869
610000 0.000260021
611000 3.56782e-05
612000 -9.85221e-05
613000 2.6872e-05
614000 0.000331247
615000 0.000246068
616000 -0.000276596
617000 7.82535e-05
618000 0.000230135
619000 0.000241823
620000 0.000189585
621000 7.39333e-05
622000 0.000427366
623000 0.000253379
624000 -0.000191515
625000 -8.97595e-05
626000 0.000143562
627000 0.00015919
628000 -7.56077e-05
629000 1.38413e-05
630000 0.000288102
631000 0.000219904
632000 0.000196276
633000 0.000106783
634000 -6.3558e-05
635000 -0.000131161
636000 0.000125247
637000 0.000460476
638000 0.000431871
639000 0.000480102
640000 0.000316598
641000 0.000191632
642000 0.000141574
643000 0.00038012
644000 0.000384599
645000 0.000191803
646000 0.000285863
647000 0.00046234
648000 0.000542592
649000 0.000377646
650000 0.000183206
651000 -1.25153e-06
652000 0.000318298
653000 0.000476006
654000 0.000174536
655000 2.79841e-05
656000 -3.87544e-06
657000 0.00020269
658000 0.000204224
659000 0.000127894
660000 0.000238638
661000 -3.55458e-05
662000 0.000303844
663000 0.000239097
664000 7.83872e-05
665000 0.000146615
666000 -5.64168e-05
667000 -9.46005e-05
668000 7.702e-05
669000 -2.27992e-05
670000 -0.000207382
671000 0.000177229
672000 0.00024915
673000 -6.74955e-05
674000 -4.23763e-05
675000 0.000179434
676000 0.000252908
677000 0.000341771
678000 0.00019415
679000 0.000392286
680000 0.000288954
681000 4.00874e-05
682000 5.01476e-05
683000 0.000173923
684000 6.74136e-05
685000 8.19221e-05
686000 5.19203e-05
687000 5.48451e-05
688000 -5.82959e-05
689000 9.0299e-05
690000 3.22705e-05
691000 6.57186e-05
692000 0.000329906
693000 0.000301002
694000 0.000171713
695000 7.22053e-05
696000 0.000174863
697000 0.000288552
698000 7.49682e-05
699000 -4.35813e-05
700000 1.47943e-05
701000 0.000353854
702000 0.000530986
703000 0.000283464
704000 0.000107292
705000 0.000534149
706000 0.000603264
707000 0.000687211
708000 0.000289681
709000 -0.000210599
710000 -0.000258104
711000 0.000185873
712000 0.000335406
713000 -0.000129473
714000 -7.63838e-05
715000 -3.31876e-05
716000 0.000224788
717000 0.00030335
718000 0.000175136
719000 0.00012492
720000 0.000112852
721000 0.000109489
722000 0.0002755
723000 0.000317213
724000 -0.000101693
725000 -0.000180856
726000 0.000176906
727000 0.000410612
728000 6.68937e-05
729000 -0.000266693
730000 -5.44382e-05
731000 0.000307492
732000 0.000420648
733000 0.000170633
734000 6.65835e-05
735000 0.000500574
736000 0.000651572
737000 0.000533647
738000 0.000265302
739000 0.000437938
740000 0.000392716
741000 0.000312201
742000 0.000225131
743000 0.000116094
744000 9.33745e-05
745000 0.000211066
746000 0.000330749
747000 0.0002813
748000 0.000228388
749000 0.000119366
750000 0.000274561
751000 0.000305344
752000 0.000247456
753000 0.000282698
754000 0.00034493
755000 0.000318996
756000 0.000406716
757000 0.000194708
758000 -7.33891e-05
759000 -8.67158e-05
760000 0.000130919
761000 0.000100769
762000 0.00016065
763000 7.72163e-05
764000 0.000137117
765000 0.000132267
766000 6.48931e-05
767000 -1.25277e-05
768000 0.000132031
769000 5.5848e-05
770000 5.47628e-05
771000 0.000167529
772000 0.00024356
773000 0.000249258
774000 0.000231193
775000 9.34107e-05
776000 -2.95743e-05
777000 -6.5795e-05
778000 0.00024626
779000 0.000131322
780000 0.000450139
781000 6.45451e-05
782000 9.07513e-05
783000 0.000344838
784000 0.000479193
785000 2.45154e-05
786000 0.000154833
787000 0.000388165
788000 0.000167589
789000 0.000375839
790000 0.00036469
791000 2.06628e-05
792000 2.04406e-05
793000 0.000324867
794000 0.000200558
795000 0.000222827
796000 0.000262353
797000 4.57763e-05
798000 5.16982e-05
799000 0.000453266
800000 0.000186087
801000 5.34803e-05
802000 4.11455e-06
803000 6.84337e-07
804000 0.000295927
805000 0.000359698
806000 0.000296626
807000 0.000273399
808000 -4.23708e-05
809000 -1.29166e-06
810000 0.000247143
811000 0.000322904
812000 0.000263877
813000 0.000231402
814000 6.6889e-05
815000 -0.000130243
816000 0.000113351
817000 0.000159309
818000 0.00010831
819000 0.000145032
820000 0.000148576
821000 0.000285601
822000 0.000273093
823000 3.75253e-05
824000 0.000225008
825000 7.42312e-05
826000 -5.47224e-05
827000 4.73502e-06
828000 0.000169856
829000 7.58917e-05
830000 -4.12671e-05
831000 0.000395702
832000 6.32314e-05
833000 -0.000134113
834000 0.000202396
835000 0.000272848
836000 -6.74166e-05
837000 0.000409248
838000 0.000437981
839000 -0.000166385
840000 -0.000352502
841000 0.000418835
842000 0.000264248
843000 3.24885e-05
844000 -6.31069e-05
845000 0.000214622
846000 0.000241878
847000 0.000488438
848000 0.000451496
849000 0.000397648
850000 0.000346224
851000 1.49565e-05
852000 0.00024734
853000 0.000344414
854000 0.000145279
855000 0.000168097
856000 0.000135974
857000 -0.000155941
858000 -4.77519e-05
859000 0.000242948
860000 0.000312825
861000 7.433e-05
