# Time-averaged data for fix myat3
# TimeStep c_sumcoor12
80500 2.83425
80600 2.83769
80700 2.81062
80800 2.81013
80900 2.80931
81000 2.8545
81100 2.84844
81200 2.85356
81300 2.827
81400 2.846
81500 2.8355
81600 2.84437
81700 2.82412
81800 2.82531
81900 2.84544
82000 2.83581
82100 2.83794
82200 2.86569
82300 2.84744
82400 2.84294
82500 2.8615
82600 2.82969
82700 2.83637
82800 2.86175
82900 2.857
83000 2.86444
83100 2.86813
83200 2.85781
83300 2.86488
83400 2.83406
83500 2.83131
83600 2.84881
83700 2.84287
83800 2.83569
83900 2.85656
84000 2.861
84100 2.83206
84200 2.84175
84300 2.83231
84400 2.84494
84500 2.825
84600 2.83119
84700 2.82881
84800 2.84475
84900 2.82181
85000 2.82881
85100 2.81644
85200 2.82231
85300 2.8285
85400 2.8405
85500 2.84356
85600 2.81369
85700 2.83419
85800 2.81075
85900 2.83562
86000 2.80219
86100 2.8445
86200 2.81125
86300 2.83981
86400 2.82056
86500 2.81181
86600 2.83244
86700 2.82831
86800 2.82356
86900 2.82581
87000 2.79994
87100 2.82625
87200 2.8015
87300 2.8025
87400 2.79594
87500 2.79637
87600 2.80581
87700 2.80362
87800 2.77625
87900 2.79675
88000 2.80587
88100 2.80863
88200 2.80306
88300 2.80025
88400 2.80269
88500 2.79781
88600 2.79756
88700 2.79162
88800 2.79231
88900 2.78269
89000 2.79444
89100 2.78156
89200 2.80069
89300 2.7905
89400 2.82019
89500 2.79769
89600 2.77581
89700 2.768
89800 2.81663
89900 2.77831
90000 2.79619
90100 2.77675
90200 2.79088
90300 2.78494
90400 2.77806
90500 2.795
90600 2.79825
90700 2.79619
90800 2.80812
90900 2.80394
91000 2.80262
91100 2.79431
91200 2.77325
91300 2.77256
91400 2.79787
91500 2.77844
91600 2.78337
91700 2.79844
91800 2.77669
91900 2.78238
92000 2.79856
92100 2.79125
92200 2.81006
92300 2.78875
92400 2.78
92500 2.78863
92600 2.78
92700 2.76788
92800 2.78119
92900 2.78213
93000 2.77544
93100 2.76812
93200 2.77062
93300 2.77731
93400 2.78125
93500 2.77931
93600 2.77956
93700 2.77862
93800 2.78869
93900 2.7945
94000 2.78613
94100 2.80856
94200 2.79819
94300 2.79456
94400 2.81594
94500 2.79894
94600 2.79044
94700 2.79681
94800 2.77731
94900 2.80831
95000 2.79569
95100 2.79069
95200 2.77663
95300 2.78887
95400 2.77694
95500 2.80938
95600 2.78644
95700 2.78412
95800 2.77588
95900 2.77862
96000 2.77062
96100 2.75062
96200 2.74644
96300 2.75694
96400 2.76194
96500 2.76181
96600 2.78231
96700 2.774
96800 2.74594
96900 2.78781
97000 2.77212
97100 2.74594
97200 2.76925
97300 2.75163
97400 2.76956
97500 2.78294
97600 2.77194
97700 2.76219
97800 2.74206
97900 2.75206
98000 2.74262
98100 2.752
98200 2.76037
98300 2.74694
98400 2.74538
98500 2.762
98600 2.73644
98700 2.74463
98800 2.75431
98900 2.75113
99000 2.77244
99100 2.7405
99200 2.75225
99300 2.73431
99400 2.7375
99500 2.73381
99600 2.73712
99700 2.74931
99800 2.7435
99900 2.74388
100000 2.72975
