# Time-averaged data for fix myat2
# TimeStep v_delta_x
143400 23.3059
143500 23.2419
143600 22.7992
143700 22.822
143800 22.8364
143900 22.5121
144000 22.675
144100 22.8179
144200 22.8309
144300 22.6141
144400 22.5859
144500 22.6791
144600 22.8424
144700 23.1857
144800 23.2396
144900 23.3171
145000 23.5541
145100 23.8479
145200 23.7021
145300 23.5484
145400 23.2674
145500 22.9399
145600 22.816
145700 22.748
145800 22.9074
145900 23.0164
146000 23.0536
146100 22.8927
146200 22.581
146300 22.7168
146400 22.8342
146500 22.8722
146600 22.8701
146700 23.2895
146800 23.3464
146900 23.0176
147000 22.9264
147100 22.9597
147200 22.8819
147300 22.5986
147400 22.3989
147500 22.1058
147600 22.0362
147700 22.5092
147800 22.4065
147900 22.3656
148000 22.2451
148100 22.4958
148200 23.2102
148300 23.9402
148400 23.5899
148500 22.865
148600 22.3992
148700 22.4465
148800 22.7555
148900 22.7745
149000 22.4375
149100 22.0585
149200 22.0043
149300 22.0845
149400 22.1852
149500 22.5441
149600 22.717
149700 22.7093
149800 22.6189
149900 22.5307
150000 22.4997
150100 22.2487
150200 22.3553
150300 22.2861
150400 21.6308
150500 21.3543
150600 21.6726
150700 21.6558
150800 21.2929
150900 21.2009
151000 21.0377
151100 20.9771
151200 21.1627
151300 21.3357
151400 21.717
151500 21.8874
151600 22.0038
151700 21.7144
151800 21.7245
151900 21.4301
152000 21.2478
152100 21.2008
152200 21.0117
152300 21.0569
152400 21.0739
152500 21.2797
152600 21.4715
152700 21.7892
152800 21.9468
152900 21.9434
153000 21.5708
153100 21.2888
153200 21.8695
153300 22.1852
153400 22.1628
153500 21.85
153600 21.6651
153700 21.4957
153800 21.2676
153900 21.1703
154000 21.3565
154100 21.7509
154200 21.6116
154300 21.5542
154400 21.5434
154500 21.2963
154600 20.8368
154700 20.3162
154800 20.7667
154900 21.3683
155000 21.0992
155100 20.2796
155200 19.784
155300 20.3353
155400 20.8556
155500 20.6867
155600 20.3977
155700 20.3731
155800 20.7747
155900 20.3484
156000 20.1912
156100 20.3898
156200 20.1234
156300 19.9985
156400 20.1246
156500 19.8601
156600 19.5063
156700 19.5927
156800 19.4652
156900 19.9287
157000 20.3842
157100 20.4206
157200 20.6321
157300 20.9582
157400 20.4848
157500 20.1594
157600 20.2842
157700 20.682
157800 20.8259
157900 20.6894
158000 20.3658
158100 19.442
158200 19.3417
158300 19.3822
158400 19.3646
158500 19.4102
158600 19.7667
158700 20.0202
158800 20.0811
158900 19.71
159000 19.5265
159100 19.8865
159200 20.1414
159300 20.3132
159400 19.9678
159500 19.9091
159600 20.3963
159700 20.5946
159800 20.3132
159900 20.0869
160000 20.336
160100 20.3844
160200 20.4808
160300 20.3662
160400 20.0429
